Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
United Kingdom (Offshore),,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.1779,2654.66464,2720.53552,2647.54247,2749.25205,2835,2439.95665,2477.46841,2447.9726,2288.36937,1977.53943,1770.89952,1602.14244,1601.79917,1502.86446,1422.14455,1318.73663,1084.06849,922.38078,827.30675,819.5625
Eurasia,,11991,12150,12227,12302,12201,11935,12226.10138,12389.51996,12424.54816,12025.52851,11300.93852,10313.41449,8789.07094,7867.76736,7252.72506,7141.80909,7044.19061,7214.28185,7262.60176,7639.63468,8184.69632,8773.67006,9428.8284,10424.09251,11346.93761,11766.19597,12214.09373,12687.58077,12638.88062,13024.58399,13366.32317,13492.74684,13608.01883,13782.07582,13905.19108
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0.00025,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,222.2473,206.45034,191.18341,180.54342,180.31778,179.90999,236.70952,283.61047,288.58721,308.86234,315.41845,325.17476,317.63403,440.00603,646.58046,849.0687,878.19273,1015.94529,1044.84437,993.26052,931.756,880.47497,855.73254
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,41.52311,34.75571,36.45672,34.11568,33.09382,33.59898,33.99988,33.94708,34.68791,35.372,33.46922,34.33129,35.03104,35.15458,35.60208,36.01088,35.29564,32.06294,32.073,30.829,30.025,30.67334,30.025
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,-0.08259,-0.06626,-0.02485,0,0,7.34,4.4,3.02,4.747,5.13362,5.5304,6.13796,6.59204,6.9,7.28,7.40002,7.6,9,10,11,11,13,13
Former U.S.S.R.,,11991,12150,12227,12302,12201,11935,12226.10138,12389.51996,12424.54816,12025.52851,11300.93852,10313.41449,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,2.88939,1.99832,1.82935,0.99203,1.19042,2.67287,2.17162,2.15351,1.99003,2.10783,1.46248,2.7807,1.9791,1.97739,0.99486,0.98383,0.97868,0.99321,1,1,1.007,1.007,1.007
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,442.60453,406.72656,416.46587,414.79108,458.76835,522.03241,526.90134,604.91706,725.62922,835.97119,967.51436,1061.97374,1245.86688,1337.17306,1387.86552,1445.64963,1430.94137,1541.56638,1608.71366,1637.32668,1605.60841,1658.00423,1719.06725
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,2.264,2,1.64,2,1.98,1.82472,1.73436,1.66184,2.02986,2.01058,1.50952,1.35818,1.36466,1.95843,1.97912,0.94623,0.94308,0.99983,0.96,0.955,0.961,0.961,0.961
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.3,0.3,0.5,0.9,1.2,1.1,1,1,1,1
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,-0.45759,3.62011,5.16078,5.58042,6.45953,7.13075,9.48858,8.30742,9.55052,13.48161,13.43742,12.36198,11.41084,9.83302,8.37471,7.61921,10.04207,9.45376,9.71077,9.084,8.825,8.825,8.825
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00996,-0.02464,-0.01731,-0.014,-0.018,-0.018,-0.018
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,7818.71693,6951.0065,6306.85915,6172.48893,6016.55705,6101.09035,6069.66507,6312.31629,6723.63889,7159.73476,7658.89118,8534.77855,9273.77037,9511.24158,9732.35022,9938.18208,9875.03286,10049.55236,10279.49158,10401.6921,10588.96369,10757.90555,10847.10007
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,1.311,0.8,0.6,0.7,0.62567,0.62657,0.50303,0.49803,0.39202,0.32903,0.31178,0.35478,0.25277,0.2821,0.30303,0.28317,0.23794,0.2228,0.2198,0.22,0.21875,0.211,0.211
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,110.23985,90.55313,87.27205,82.30102,89.65806,105.91515,126.17524,154.25933,156.63607,167.8753,192.56792,200.00085,213.94316,196.65006,177.21151,180.73092,189.36351,197.64378,203.2536,224.1191,245.06871,260.41499,277.35471
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,81.65399,84.22388,89.85349,87.9737,91.59219,94.68847,89.69967,87.47977,84.89139,86.74805,85.45992,88.84417,96.88536,99.38719,107.75607,107.71108,99.38764,93.55939,83.27207,79.59751,81.03467,74.87874,66.38204
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,66.16103,85.69882,115.4291,160.32282,163.94776,157.45158,161.15345,147.46389,151.91619,156.04377,153.25575,155.99554,142.00735,125.33253,107.49613,112.49503,109.97505,72.4089,91.70163,102.67693,102.5686,94.738,84.54348
Middle East,,19024,16417,13302,12221,12021,11001.01,13140.30816,13627.84144,15290.23905,16836.44082,17449.08761,17054.05676,18357.20169,19291.10823,20035.6795,20420.87776,20618.43138,21429.68728,22761.06478,22114.52086,23484.22038,22793.07724,21570.83281,22992.18362,25070.0135,26091.78554,25774.426,25286.0878,26764.34891,25326.4701,26220.61951,27673.69272,27879.62645,27472.11988,27836.47631
Bahrain,,57,55,53,52,51,49,52.68359,51.87861,52.53257,51.95853,47.95983,43.85179,44.61771,54.5956,55.01508,52.8237,46.35835,53.71412,49.31047,49.56985,49.77501,49.25458,49.39291,49.58959,50.60605,47.52479,48.85322,48.43459,48.59778,48.68543,47.399,47.612,55.355,61.355,63.85911
Iran,,1683,1402,2236,2460,2196,2272,2043.93462,2313.31914,2253.24351,2830.68212,3113.044,3357.59551,3476.16116,3591.23039,3672.47277,3708.59932,3747.66725,3727.91139,3703.32823,3620.59041,3765.38516,3799.99117,3523.96857,3833.03404,4104.20868,4238.58358,4149.34028,4039.02547,4177.53735,4178.29613,4243.07158,4214.979,3519.74773,3194.30074,3376.61033
Iraq,,2526,1009,1021,1014,1218,1447,1696.1687,2086.49227,2699.00939,2944.54419,2064.448,301.52301,421.46908,522.5952,567.26304,579.90374,593.40666,1172.34267,2162.13519,2520.20463,2581.9687,2408.82171,2039.79134,1318.04445,2020.56678,1889.41913,2009.44099,2096.63573,2384.55267,2399.1671,2397.54321,2624.16593,2979.49433,3050.54456,3364.2021
Israel,,35,36,1,1,1,1,1.60454,1.40351,1.49166,0.8429,0.87511,-0.05471,0.1127,2.08435,2.8889,3.08268,3.52103,2.10879,3.43458,3.12693,3.66324,3.91387,2.74011,3.19412,5.95068,3.709,3.972,4.768,5.574,6.175,6.074,5.761,5.75,5.757,5.757
Jordan,,0,0,0,0,0,0,1.21727,0.70725,0.83916,0.45269,0.5905,0.83069,0.41389,0.06115,0.18635,0.17974,0.1729,0.18037,-0.23044,-0.16389,-0.48596,-0.26655,-0.1751,-0.14172,-0.36402,-0.25859,-0.12821,0.08777,0.70646,0.61429,0.16276,0.505,0.451,0.451,0.451
Kuwait,,1760,1195,872,1127,1233,1086,1482.68954,1664.2048,1579.22674,1877.62031,1234.10971,191.3972,1084.1664,1896.08941,2114.43484,2158.52341,2153.75922,2121.84126,2206.45424,2018.19665,2200.73368,2125.59516,2029.91077,2268.31392,2515.38205,2671.9799,2671.51292,2603.42559,2727.89534,2505.94295,2449.10565,2680.69234,2783.58736,2798.642,2767.20364
Lebanon,,0,0,0,0,0,0,-0.57726,-0.05464,0.27917,0.28534,0.32522,0.29146,0.28999,0.29865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,,284,321,326,377,417,502,562.74532,586.91883,621.69212,649.71478,693.49644,706.46764,744.45117,779.57691,814.18005,859.07402,891.08867,907.69346,903.62458,913.53483,972.04106,915.48762,899.48445,823.00979,754.29732,780.55853,743.85952,714.81372,759.69982,818.8882,869.41702,891.58192,924.68431,946.03835,951.76464
Palestinian Territories,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,,483,430,361,321,423,332,331.15945,318.54792,378.27936,405.773,447.62222,446.79421,480.11274,470.30015,467.05448,499.00876,562.9769,622.68447,783.31247,778.82358,879.04913,880.24858,870.75927,1018.6269,1162.0754,1253.60623,1283.66432,1350.86738,1484.26346,1573.24799,1787.779,1936.28389,2032.45148,2067.14,2054.56466
Saudi Arabia,,10285,10265,6929,5430,5033,3778.01,5254.63966,4673.71736,5577.20362,5555.18073,7018.83364,8789.90176,9036.07454,8893.56852,9101.1643,9235.03793,9237.93117,9400.13067,9471.65309,8907.01622,9475.74895,9156.63995,8809.50666,10076.81061,10796.24133,11496.30789,11098.43882,10748.62275,11428.60019,10314.71191,10908.35468,11469.90116,11840.6834,11701.51168,11623.70347
Syria,,164,166,160,167,170,178,190.1442,225.72684,259.83973,337.13376,385.05789,490.55821,478.45598,557.52047,563.48557,583.65877,600.83137,579.49638,572.12733,557.93569,546.78467,513.37535,519.7802,510.1629,488.06332,463.79396,438.82722,411.87022,400.34998,400.1077,415.77296,368.97734,167.10851,71.70092,29.28722
United Arab Emirates,,1747,1538,1343,1272,1279,1356,1515.31226,1686.27839,1694.79475,1989.51788,2251.76592,2531.01697,2409.90238,2304.74704,2342.82378,2395.83109,2439.37922,2479.59418,2518.50568,2337.20428,2572.32543,2500.04083,2386.83313,2660.82958,2766.74508,2844.62628,2948.46855,2947.49714,3046.87307,2794.55158,2814.83206,3216.47308,3401.31156,3443.705,3473.705
Yemen,,0,0,0,0,0,0,8.58627,18.70116,171.80728,192.73458,190.95913,193.88303,180.97396,218.4404,334.71036,345.1546,341.33863,361.98951,387.40936,408.48168,437.23131,439.97498,438.8405,430.70944,406.24082,401.93483,378.17638,320.03943,299.69879,286.08184,281.10758,216.76004,169.00178,130.97363,125.36815
Africa,,6229,4888,4882,4921.26,5349,5598.871,5527.28142,5501.71773,5840.93537,6253.8631,6718.37661,6956.73586,7072.03845,7037.5395,7038.77998,7317.46197,7522.60462,7814.78984,7788.36699,7731.52759,7989.6994,8028.06533,8135.50604,8605.69126,9321.41913,10088.6871,10194.94357,10485.49678,10574.24414,10424.61524,10669.35399,9267.96695,9917.82482,9296.44395,8707.2323
Algeria,,1143,1052,1046,1018.26,1115,1142.071,1190.26068,1199.75516,1173.53572,1233.90889,1314.65491,1309.48924,1341.1767,1311.67067,1295.62274,1306.73797,1376.02494,1417.25029,1402.432,1388.61603,1433.02529,1513.89265,1617.65305,1784.04302,1844.52503,1956.77809,1967.49345,1967.54505,1954.4593,1909.81487,1881.051,1862.69,1875.22717,1762.76482,1720.984
Angola,,150,130,122,177,208,231,281.32697,359.34804,451.34969,454.34741,474.35485,499.34484,525.68738,508.37485,535.37247,645.22395,708.18124,713.42295,734.62757,744.55684,746.11311,741.90412,896.14301,902.30472,1054.41503,1249.22862,1419.91669,1747.5052,1955.20603,1876.29528,1908.11417,1755.02744,1786.27018,1841.87853,1755.83744
Benin,,0,0,0,4,7,8,8,7,5,4,4,4,5.594,5.778,5.93,3,2,1.32,1,1,0.69,0.7,0.8,0.4,0,0,0,0,0,0,0,0,0,0,0
Botswana,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burundi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,,58,87,109,114,135,185,176.67159,173.71429,162.71632,169.6859,160.59853,152.93133,140.43551,127.14527,108.33014,111.40787,108.38556,124.45723,120.9575,100.49664,85.05965,76.89133,69.90076,67.21815,66.34701,82.70864,86.80748,83.15674,81.78026,77.42024,65.52425,62.18227,63.513,63.26916,81.34314
Cape Verde,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36.06849,170.58743,176.65753,157.91781,144.20274,127.16393,119.47123,122.52055,114.96438,104.48361,97.90685,103.42192
Comoros,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Congo (Brazzaville),,65,83,89,87,121,120,118.73098,122.88339,143.8932,163.88339,164.83652,155.73368,173.70976,180.76701,179.7001,187.7466,200.74086,264.6339,276.6326,282.92822,291.9074,266.35027,259.9621,255.52326,242.92704,235.87597,247.29583,213.65064,239.87766,274.48652,311.913,298.912,291.892,273.892,258.892
Congo (Kinshasa),,20,20,23,25,32,33,31.96151,32.11071,30.16333,28.22377,29.1844,28.05499,25.9073,24.84136,25.84287,29.87049,29.87156,28.24604,26.3056,22.21708,26.01703,24.01708,22.66575,22,21.0847,19.74795,20,22.15616,19.95765,22,21,20.16164,20,20,20
Cote dIvoire (IvoryCoast),,2,8,10,24,28,28.8,19.93416,17.98511,11.76501,1.71135,1.70517,1.81934,1.30009,0.83229,7.32588,8.47313,16.26134,19.5415,20.91684,15.95298,12.36467,11.54063,13.07471,19.85158,27.77691,39.93577,63.29672,53.04377,59.93157,58.47994,44.53988,40.27104,38.6003,37.685,36.685
Djibouti,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Egypt,,613,616,691,753,848,915,826.49893,910.59658,872.59297,899.23642,901.35229,906.99024,883.16327,898.06075,903.68756,929.49504,933.67344,869.67084,848.13526,872.89353,793.33734,748.06048,742.55169,744.09538,700.09207,682.77395,682.8348,673.67169,706.52229,728.62067,735.15095,717.71223,709.56861,693.52884,664.76445
Equatorial Guinea,,0,0,0,0,0,0,0,0,0,0,0,0.102,1.55,4.5,5,5,17.093,52.42192,83,102,167.5,181.43836,212.56164,206.46588,368.20765,375.47671,362.86575,368.52877,359.20315,346.01607,322.71038,298.88803,310.4,290.79726,269
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,-0.25778,-0.26316,-0.26515,-0.26588,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia,,0,0,0,0,0,0,-0.25884,-0.252,-0.2564,-0.30897,-0.31635,-0.05196,-0.10383,-0.19707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Gabon,,176,152,157,158,158,173,165.91413,154.89098,158.95961,207.83042,269.8357,293.83527,297.47835,312.38617,328.40559,364.80036,368.08928,370.26741,351.89153,330.81966,314.79176,269.80235,251.04817,241.1596,238.77112,266.02883,236.88244,243.897,247.74844,241.92754,245.51071,244.36029,241.97787,238.90753,239.65
"Gambia, The",,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ghana,,2,2,2,2,2,1,0.23041,0.09429,0.08566,-0.05667,-0.04152,0.22565,1.23409,1.81067,1.43603,4.05854,6.63827,5.16046,4.99377,5.99592,7.13187,7.18333,7.43318,7.47741,8.57353,7.39939,7.08103,7.69119,7.22731,6.88771,8.46404,77.68933,79.20819,98.76533,105.87218
Guinea,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenya,,1,1,1,1,1,1,-0.14971,-0.08071,-0.08313,-0.0287,-0.1002,-0.13099,-0.10723,-0.15289,-0.06341,0.02949,0.00594,-0.05166,0.01098,-0.01533,-0.05479,-0.09184,-0.16557,-0.07992,-0.26325,-0.16089,-0.31759,-0.13615,-0.16178,-0.16742,-0.058,-0.147,-0.064,-0.064,-0.064
Lesotho,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Libya,,1827,1175,1190,1135,1124,1085,1061.62687,999.0107,1201.68334,1182.92791,1407.19696,1520.91666,1470.45919,1399.54433,1416.49625,1428.19859,1447.31335,1504.04624,1448.15649,1376.99874,1469.34531,1427.84153,1383.18318,1484.8877,1582.29672,1721.29252,1809.57667,1844.70319,1874.4418,1790.10934,1784.892,500.76316,1482.47343,983.04585,515.60749
Madagascar,,0,0,0,0,0,0,-0.17224,-0.08877,-0.11341,-0.07313,-0.08841,-0.10686,-0.03472,-0.03497,-0.03402,-0.03138,-0.03168,-0.03102,-0.0287,-0.0287,0.06914,0.08415,0.08927,0.09059,0.09218,0.08457,0,0,0,0,0,0,0,0,0
Malawi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
Mali,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mauritania,,0,0,0,0,0,0,0,-0.33338,0.16046,0.11011,0.11728,0.1102,-0.04666,-0.10065,-0.06042,-0.097,-0.09532,-0.09554,-0.09848,-0.09848,-0.09266,0,0,0,0,0,30.61918,14.99178,12.83333,11.24522,8.23223,7.73764,6.57708,6.75041,6.00301
Mauritius,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,,2,2,2,2,2,2,-1.23401,-0.06086,0.15734,-0.01258,-0.73418,-0.83133,-0.84792,-1.37485,-1.46369,-1.17792,3.93057,4.78675,4.47664,3.81373,4.02365,4.03491,4.48438,3.72307,3.44645,-0.69026,-0.94732,-1.06206,-0.27763,-0.24017,-0.445,-1.654,-0.728,-0.728,-0.728
Mozambique,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0.02,0.02,0.02,0.02
Namibia,,--,--,--,--,--,--,--,--,--,--,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Niger,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71233,20,20,20
Nigeria,,2060,1438,1300,1246,1393,1500,1469.90721,1344.40404,1453.98671,1721.63691,1816.85827,1898.17014,1950.60942,1966.9371,1936.40082,1998.07723,2006.75072,2139.78906,2160.04145,2136.305,2169.13511,2261.41605,2123.32298,2278.59203,2331.69623,2630.86027,2442.25006,2352.75555,2168.86528,2212.18016,2459.45327,2554.66421,2524.542,2371.91186,2427.74748
Reunion,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rwanda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Saint Helena,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Senegal,,0,0,0,0,0,0,0.14657,-0.10113,-0.15271,-0.12559,-0.17568,-0.09497,-0.06304,-0.04557,-0.00703,-0.0103,-0.00877,-0.07428,-0.03745,-0.01158,0.01548,-0.02753,-0.02113,-0.03129,-0.05876,-0.03865,-0.01342,-0.06512,-0.08098,-0.03246,0.036,0.008,-0.067,-0.067,-0.067
Seychelles,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone,,0,0,0,0,0,0,-0.01145,-0.05387,-0.03979,-0.03823,-0.03798,-0.03757,-0.00739,-0.03461,0.12848,-0.00365,-0.00364,-0.0039,-0.00264,-0.00264,-0.00204,0,0.00084,0.00399,0.0007,0.00299,0.02898,0.02539,0.03298,0,0,0.02539,0.02539,0.02539,0.02539
Somalia,,0,0,0,0,0,0,0.19584,0.12925,0.1292,0.13156,0.12321,0.05966,0.05381,0.05374,0.05374,0.05374,0.05374,0.05374,0.05374,0.05374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Africa,,0,4,20,55,55,60,67.13157,72.14077,67.25542,77.27313,77.36143,77.41471,140.19349,194.52064,195.09187,206.78873,208.17993,210.41599,213.80694,194.83037,201.63061,209.28577,211.44428,202.30936,234.04175,215.21075,201.40674,196.19566,193.71329,182.61663,181.86015,183.869,182.65857,182.32682,161.616
Sudan and South Sudan,,0,0,0,0,0,0,-0.16724,-0.14726,-0.01788,0.01768,0.01818,-0.27209,0.13407,0.13964,-0.11545,0.04171,1.84694,4.84733,9.84816,68.61734,186.98453,210.83491,240.4934,271.87904,344.84255,352.40727,381.34794,466.76212,479.83065,485.98729,488.98674,455.36027,114.82609,249.55334,261.44375
Swaziland,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania,,0,0,0,0,0,0,0.01662,0.07825,0.03202,-0.22913,-0.16237,-0.13356,-0.00182,-0.16099,-0.15787,-0.1585,-0.15681,-0.15565,-0.15693,-0.1657,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01
Togo,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunisia,,110,118,120,120,120,114,110.58057,108.53584,107.66721,109.59985,97.7073,109.03388,114.43272,102.13204,95.96986,90.05442,87.97771,84.98717,81.2498,83.69611,80.49893,72.58098,78.55014,77.36913,81.66704,76.7478,78.24085,85.88712,85.48942,80.95503,79.26767,67.12328,65.78135,63.63495,58.53905
Uganda,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Zambia,,0,0,0,0,0,0,0.1403,0.1583,0.46549,0.21139,0.12828,0.16336,0.13192,0.14657,0.14526,0.14603,0.1476,0.14895,0.15435,0.05809,0.00802,0.12579,0.13021,0.14005,0.15,0.15928,0.15948,0.19034,0.14016,0.14156,0.17,0.186,0.199,0.199,0.199
Zimbabwe,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.06,0.12,0.12,0.12,0.12,0.12
Asia & Oceania,,5092.74,5088.094,4937.205,5240.389,5674.85862,5999.80316,6165.82738,6186.02028,6304.84538,6524.20185,6736.456,6935.73558,6914.03901,7014.97669,7197.53025,7501.36198,7740.91275,7947.16364,8042.01987,8073.47791,8316.45916,8289.95731,8321.01652,8250.1689,8337.08056,8538.44167,8560.20428,8537.09237,8702.50224,8768.15131,9178.92054,9048.24056,9152.35361,9199.47277,9257.79032
Afghanistan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,,460.24,474.194,443.505,489.469,570.58205,664.61293,606.18136,638.62713,632.63654,582.72137,666.49448,635.18088,618.74827,589.63728,624.80948,646.64609,666.92907,694.68443,649.26045,646.94061,828.05825,768.25713,744.24488,629.81298,557.34419,572.96896,552.93507,587.44902,588.43174,592.48632,604.10564,530.63153,518.00685,445.50182,472.94018
Bangladesh,,0,0,0,0.22,0.41,0.735,0.6521,0.61785,0.76379,0.66923,1.00148,0.87309,0.99804,1.1995,1.59105,1.32997,1.4889,2.23274,2.1566,1.9805,3.21103,4.10149,6.82469,6.91283,6.74582,6.75957,6.73288,6.72417,6.4086,5.68375,5.046,5.063,4.86367,4.197,4.197
Bhutan,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei,,270,188,179,187,175,168,181.20454,150.20697,148.20751,142.22395,160.24832,171.38773,177.51521,177.68001,180.22205,176.22726,166.65979,175.26254,179.67859,204.26522,215.36776,217.58366,189.4066,196.36775,204.43115,213.14754,220.40883,175.5119,157.76447,150.85761,158.40464,169.42704,158.82247,135.31195,123.90647
Burma (Myanmar),,30,27,30,30,32,30,24.23796,17.20662,13.86464,16.15033,14.14321,16.10944,15.01327,14.12893,14.19946,10.11118,8.41947,9.59767,11.61972,10.16231,12.74034,10.48798,15.60241,15.68731,20.68387,20.75072,23.79111,21.95458,22.06018,18.77626,21.15577,20.734,20.635,20.635,20.635
Cambodia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.081,0.0005,0.0005,0.0005,0.0005
China,,2114,2012,2045,2120,2296,2505,2587.5074,2680.48857,2722.22788,2749.24024,2768.04442,2836.20371,2851.94239,2903.46328,2957.31415,3059.62461,3211.28816,3284.55511,3301.74483,3317.02833,3377.52732,3434.63486,3534.86154,3572.90599,3674.7525,3811.51563,3895.21507,3953.86,4035.93197,4074.44863,4377.13227,4393.05921,4465.20809,4561.11507,4598.05205
Cook Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fiji,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.03,0.03,0.03,0.03
French Polynesia,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guam,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hawaiian Trade Zone,,0,0,0,0,0,-0.07457,-0.29603,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Hong Kong,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1
India,,185.5,329.4,394.5,485,525,626,645.72514,626.87336,654.51519,723.78642,681.81278,639.26725,602.05884,577.56631,650.63476,769.71452,750.86335,779.61609,761.30549,764.78454,772.95094,784.63081,815.86516,818.3335,846.60083,834.48838,865.85176,872.95103,876.53253,882.25285,970.40825,1006.96506,1016.73162,1015.80985,1011.1301
