Locality,,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Slovakia,,--,--,--,--,--,--,--,--,--,--,--,--,--,64,65,65,68,74,74,68,66.7708,71.6699,80.077,74.9422,74.5762,78.4885,78.6082,83.286,85.9413,80.657,83.6967,82.1711,70.6075,73.1588,73.029
Slovenia,,--,--,--,--,--,--,--,--,--,--,--,--,33,40,43,48,56,55,52,52,50.1568,52.0671,50.5532,51.2567,52.4429,53.6915,55.6362,55.0745,63.7044,54.3282,55.511,55.017,54.1587,52.1721,50.1879
Spain,,990,941,1003,1011,852,858,866,895,983,981,1010,1068,1104,1053,1116,1187,1199,1266,1356,1396,1433.2098,1492.323,1504.5304,1542.3573,1571.4314,1607.2636,1588.1677,1611.2049,1546.976,1467.517,1441.0063,1385.3186,1300.9284,1208.1271,1208.4997
Sweden,,527,471,402,365,346,357,371,364,350,336,336,340,371,365,390,388,413,394,401,392,361.6541,368.7562,373.1707,370.2619,368.3842,359.5589,354.4685,350.3767,336.7751,318.2608,335.8233,314.7532,300.2257,295.8285,309.0732
Switzerland,,307,251,237,259,249,271,271,264,265,262,268,279,282,267,263,267,272,268,281,282,273.9527,276.8389,267.6756,270.0893,269.7167,266.6293,265.8732,254.4022,262.2907,255.6471,260.6992,241.9044,245.6336,250.6838,227.5044
Turkey,,314,280,327,342,343,359,388,441,436,448,477,466,492,565,542,608,634,631,629,627,666.8915,618.623,657.7241,644.9715,661.3598,659.3559,677.5704,679.8277,667.6697,703.1493,672.763,655.3756,688.5202,737.8008,710.4559
United Kingdom,,1725,1590,1590,1531,1825,1617,1637,1611,1692,1731,1776,1803,1815,1829,1833,1816,1852,1810,1792,1811,1765.4366,1746.977,1738.64,1759.3633,1789.2413,1819.457,1805.9156,1750.6441,1730.691,1634.5279,1617.5597,1576.5479,1527.3831,1502.4529,1505.2929
Eurasia,,8995,8935,9075,8950,8910,8950,8975.4,8994.971,8890.4364,8740,8391.99981,8349.99863,6832.44764,5654.9464,4854.12197,4603.87459,4032.13356,3893.46249,3802.44212,3710.76716,3719.74107,3754.83911,3806.13639,3886.31483,4011.5515,4098.12359,4135.1341,4259.87829,4199.79382,4065.79711,4329.33296,4669.10927,4644.30115,4688.6042,NA
Armenia,,--,--,--,--,--,--,--,--,--,--,--,--,44.43787,24.71877,17.89899,24.62227,28.01063,30.72348,31.94414,32.70134,35.20768,37.09082,38.63671,39.91049,41.2359,44.40115,45.20129,46.68348,47,45.77984,9.03307,8.5191,8.72208,8.7,NA
Azerbaijan,,--,--,--,--,--,--,--,--,--,--,--,--,202.51104,194.03133,186.60263,178.54077,133.54403,128.5937,145.84023,149.46002,136.88773,119.88992,110.35008,110.77723,112.60131,115.35119,114.37499,109.40288,84.41238,79.87161,82.62719,92.36111,96.91323,99,NA
Belarus,,--,--,--,--,--,--,--,--,--,--,--,--,374.84458,288.69531,241.16946,228.08192,206.02884,186.04342,170.98792,149.70068,139.767,130.3312,123.43725,142.82887,158.45931,171.30064,174.28234,175.66381,157.28414,182.53186,151.91934,175.84888,165.80763,171,NA
Estonia,,--,--,--,--,--,--,--,--,--,--,--,--,32,34,32,25,27,27,27,25,21.3265,24.1668,25.0403,24.4584,25.2669,26.0205,27.8063,29.5847,28.3213,25.8263,26.4795,26.0014,29.1464,29.9042,30.7778
Former U.S.S.R.,,8995,8935,9075,8950,8910,8950,8975.4,8994.971,8890.4364,8740,8391.99981,8349.99863,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Georgia,,--,--,--,--,--,--,--,--,--,--,--,--,27.02605,15.5437,7.48,8.00178,14.49,15.61798,15.81746,17.42163,15.84167,12.66935,12.29387,12.44115,12.96573,15.03973,16.14322,18.05896,18.86315,19.88913,21.11132,21.99693,21.91606,21,NA
Kazakhstan,,--,--,--,--,--,--,--,--,--,--,--,--,404.13945,341.39174,297.61701,269.18675,245.2424,217.52016,196.64181,171.22771,194.74788,210.45053,217.15918,206.9837,221.25186,228.97926,234.46372,235.97005,247.50436,209.95446,234.41819,270.65619,245.6562,248,NA
Kyrgyzstan,,--,--,--,--,--,--,--,--,--,--,--,--,32.53743,19.44241,8.75627,11.67529,12.33287,10.27205,13.91129,11.60506,10.5695,9.24867,10.09052,9.57267,12.23265,13.69773,13.55126,14.30658,25.64953,34.08614,26.67783,28.33959,36.29508,33,NA
Latvia,,--,--,--,--,--,--,--,--,--,--,--,--,52.22219,40.75063,40.18107,41.57532,46.64921,34.95288,35.14238,30.746,28.85522,29.74678,28.23055,29.81885,32.63475,35.43307,37.85282,35.1409,35.73477,32.42808,36.45,33.6909,33.48989,34,NA
Lithuania,,--,--,--,--,--,--,--,--,--,--,--,--,83.93342,76.0219,78.26826,73.14781,65.51968,66.5076,70.55065,61.96457,56.5316,54.63841,53.03532,51.55871,55.07215,68.35198,73.04882,74.14962,67.67499,57.0145,54.89776,55.32344,55.87194,55,NA
Moldova,,--,--,--,--,--,--,--,--,--,--,--,--,56.94858,39.92929,22.36258,22.11219,19.62482,18.42441,15.34786,9.78759,9.58288,10.55534,11.98485,12.90901,14.29555,14.61923,14.53205,15.55951,15.56312,14.42842,16.72408,17.42999,16.39812,16,NA
Russia,,--,--,--,--,--,--,--,--,--,--,--,--,4423.15879,3750.45983,3178.98244,2976.13305,2619.45479,2562.48238,2488.6083,2537.6239,2578.49807,2590.23179,2636.40875,2681.86287,2750.81387,2785.13646,2803.46812,2885.101,2981.919,2888.534,3134.89993,3422.31015,3445.09847,3493,NA
Tajikistan,,--,--,--,--,--,--,--,--,--,--,--,--,19.59549,15.40887,12.00951,13.07397,15.21675,16.61309,19.30048,21.0567,23.33237,24.95694,25.44528,27.4935,29.48893,31.74588,33.9241,39.62156,10.77159,10.33668,11.06772,11.65618,12.39494,12,NA
Turkmenistan,,--,--,--,--,--,--,--,--,--,--,--,--,75.96377,66.41096,62.6526,63.60405,61.97097,66.39357,58.44867,53.8289,62.36065,74.14633,78.45829,86.78452,94.5529,95.59068,94.98395,99.82164,88.44581,83.65475,134.52265,137.27187,146.34868,144,NA
Ukraine,,--,--,--,--,--,--,--,--,--,--,--,--,812.71087,569.58711,495.30738,484.37841,392.98889,372.45021,365.88371,288.50674,260.14025,278.461,284.202,298.448,298.569,307.193,314.296,339.179,304.912,287.427,306.26921,291.91239,262.23055,255,NA
Uzbekistan,,--,--,--,--,--,--,--,--,--,--,--,--,190.41811,178.55455,172.83378,184.74101,144.05969,139.86756,147.0172,150.13631,146.09207,148.25523,151.36345,150.46685,152.1107,145.26308,137.20511,141.6346,85.73768,94.03435,82.23518,75.79115,68.01187,69,NA
Middle East,,2044.489,2181.992,2334.394,2591.391,2631.328,2834.73819,2962.40141,3043.66167,3141.58863,3252.74386,3483.73426,3533.53454,3766.07034,3955.0653,4204.10763,4222.42571,4372.46482,4500.52378,4615.334,4755.79922,4896.87529,5098.54125,5227.2716,5410.90793,5690.92403,5988.43873,6247.42991,6523.06927,7033.47598,7240.84643,7404.88694,7646.67926,7996.98473,8083.494,NA
Bahrain,,16.04,15.83,15.63,15.38,15.91,16.06452,15.95851,18.78158,18.94546,19.46703,20.34849,21.156,21.35954,20.47463,20.75928,21.07243,20.05585,21.0663,22.80582,23.56243,24.28591,24.97912,28.11773,28.94879,32.09156,35.11584,39.82005,42.27151,43.43189,47.45929,45.27849,45.87822,48.89071,50,NA
Iran,,590,580,660,785,765,790,830.004,865,870,964.99383,1002.5,1074.8639,1112.64443,1137.87419,1204.52953,1185.18429,1238.66805,1276.68774,1270.4795,1310.00154,1319.31697,1397.31813,1386.34668,1425.65445,1488.52473,1613.44021,1762.91506,1826.3009,1979.82344,1958.64139,1811.00632,1781.84781,1863.41262,1885,NA
Iraq,,217,214,205,250,240,258.30849,279.217,285.03132,319.723,349.97,400,262.80274,341.43726,409.12713,456.59532,474.12677,469.45978,443.35239,447.36397,451.29477,462.31507,489.07897,497.37299,457.37876,502.66032,541.02839,532.99287,567.35072,584.03298,623.81047,641.12131,668.19447,733.7019,750,NA
Israel,,160,163,162,151,126,132,143,158,168,173,179,180,181,199,212,228,221,230,228,235,252.4036,233.6904,246.8468,254.5811,248.2656,233.4222,242.1348,250.7663,246.0877,232.7784,251.2751,247.5479,291.5033,241.494,232.737
Jordan,,37,43.8,49.7,53.2,56,57.9,61.82001,66.25264,61.868,62.28816,66.19208,62.58155,73.06177,71.85049,81.69406,85.44391,91.81833,88.47006,96.21347,95.61113,101.07572,98.83847,103.3301,106.42877,106.97502,112.43023,107.73273,103.5094,96.51505,97.64213,106.32399,127.01732,137.20522,134,NA
Kuwait,,106,116,118,123,120,120.58498,117.867,114.936,119.98356,124.7204,85,94.79714,119.82932,130.58945,166.43686,173.41748,189.17302,211.91686,237.83012,258.87915,264.42198,275.18396,278.15727,287.82679,295.31851,329.93803,320.06052,337.91648,354.24486,371.57004,397.43568,431.14808,455.55421,467,NA
Lebanon,,44.9,42,41,43,40.9,47.8,46.27389,47.66376,43.29818,34.82571,33.001,53.36208,55.07621,67.44817,76.46666,82.41668,85.31918,97.25647,99.70389,103.99382,105.53167,101.31773,101.91553,104.49362,102.28997,97.45164,86.74616,79.11151,102.65259,128.86145,120.37085,124.38334,126.60915,125,NA
Oman,,17.149,16.662,19.564,20.911,24.618,29.838,29.56602,26.61657,26.278,31.586,38.6366,38.68639,39.51132,38.90038,39.69332,42.27419,46.66462,48.56948,50.50559,53.40447,52.54117,54.71956,57.23217,58.43255,63.91108,72.0646,78.03322,90.95882,121.64244,108.63902,149.64453,163.22573,186.08491,172,NA
Palestinian Territories,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,3.12956,5.21682,5.69753,7.08227,10.19074,8.92003,9.71222,15.9389,19.97633,21.62019,22.11096,15.4214,16.32969,17.83327,16.32969,16.32969,16,NA
Qatar,,16.6,18,20.6,22,24,25,27.66154,28.88363,26.87493,27.59467,27.77039,28.01544,30.08789,31.63337,32.44316,34.69801,39.90275,40.32057,41.86378,43.25378,48.17414,54.48447,62.25185,71.88333,82.84643,86.084,104.99609,128.06127,152.87286,168.59314,199.21173,200.59533,225.91051,230,NA
Saudi Arabia,,610,670,720,790,850,939,973.992,974.99976,989.999,950,1106.952,1158.92932,1219.11791,1260.20637,1286.26888,1254.54066,1331.67935,1383.59553,1439.35911,1479.22418,1537.10135,1606.29944,1676.24767,1774.58907,1884.4138,1963.64362,2020.02079,2094.32992,2236.98754,2436.11625,2579.73312,2760.91058,2881.64705,2961,NA
Syria,,110,120,121.4,139.4,154,164,163.45818,180.15897,191.63068,198.29651,205.26889,177.83,184.54393,208.86693,224.2526,225.99756,229.34461,239.94211,248.18249,255.77928,255.52385,253.72949,256.08473,257.10333,257.6186,258.65365,261.11815,280.67789,346.61644,333.60043,308.53394,293.89401,221.20135,224,NA
United Arab Emirates,,75,137,148,149,153,185,207,211,237.16848,242.39984,243.1,302.03,305.15604,309.66565,336.77267,342.85543,335.57339,337.2559,342.47808,350.86157,370.48427,396.2569,412.13709,452.38318,486.78767,497.01477,529.17215,578.69088,605.86828,585.63815,615.48812,650.35207,678.99428,694,NA
Yemen,,44.8,45.7,53.5,49.5,61.9,69.2422,66.58327,66.33745,67.81935,73.60171,75.96481,78.48,83.24472,69.42853,66.19531,72.39828,73.80589,78.96082,85.33135,89.23558,96.61733,102.45388,112.31097,121.49196,123.28182,128.17524,140.06712,121.01271,147.27852,131.16657,161.63048,135.3547,129.9398,134,NA
Africa,,1474.15173,1577.25,1659.98,1698.24,1757.829,1826.45422,1819.70717,1839.15259,1907.61281,1981.13851,2070.71354,2117.78983,2157.1191,2165.65776,2165.48226,2241.59393,2293.42435,2375.21724,2396.39115,2451.5005,2510.56534,2598.46075,2694.56166,2735.22672,2831.44934,3003.80037,3069.43264,3110.89903,3263.84827,3314.55507,3537.33568,3446.5252,3608.90257,3600.71,NA
Algeria,,121.3,127,143,136,150,164.74175,165.79542,167.27,172.004,181.84278,194,208.43863,210.14709,206.60123,204.41241,204.62066,197.8524,199.44607,205.98802,208.7933,225.17712,220.91445,239.55862,233.77103,252.35263,256.75687,252.67145,270.29003,307.51608,334.06933,354.28514,348.86022,377.09388,390,NA
Angola,,20,20,21,22,19,24.82181,24.20373,23.95034,24.51337,24.76779,24.33797,25.17524,25.87976,25.31207,24.99137,26.61454,25.14114,29.45577,25.5083,31.13963,35.25882,43.03732,44.89467,47.46024,48.28545,49.56101,56.2949,66.8618,79.27405,97.90338,104.43578,107.08735,111.89544,112,NA
Benin,,3,3,2,3,3,3.5,3.45563,2.65608,3.22352,3.45427,4.07692,4.69432,5.23904,5.79059,6.10184,6.68162,7.18471,7.83667,8.45907,9.21907,11.36612,11.39726,12.12732,14.15814,16.77249,17.56263,20.79449,22.56373,23.73332,31.09104,34.76833,31.09104,31.00609,31,NA
Botswana,,3,3,2,2,2,3.6316,3.5985,4.25731,4.72061,5.71463,6.43324,7.21593,8.40058,8.23,8.23,8.23,8.23,9.27222,9.48767,9.48767,13.96549,11.53437,11.08044,11.08044,13.4876,14.51945,15.19597,15.59025,19.05992,18.37685,19.35723,18.37685,18.32664,18,NA
Burkina Faso,,3,3,3,3,3,2.88756,3.43358,3.5,3.65224,3.2352,3.3943,3.84977,3.86137,4.20004,4.55789,4.55789,4.69519,7.59962,7.15849,7.15849,7.47932,7.58405,7.78482,8.05118,8.15847,8.3254,8.4473,9.47236,13.39786,11.64434,11.89304,11.64434,11.61253,12,NA
Burundi,,0.7,0.8,0.7,0.8,1,1.0443,1.00726,1.04783,1.72639,1.90685,2.0851,2.32545,2.21372,2.46441,2.5957,2.53282,2.56448,2.59479,2.63696,2.63696,2.6365,2.79792,2.83005,2.94397,2.68691,2.63499,2.55655,2.35477,1.32228,1.45997,1.45614,1.45997,1.45598,1.5,NA
Cameroon,,16,16,19,19,19,19.5,22.1212,20.83636,19.95201,24.21027,24.48719,24.67875,24.76878,20.51877,22.74919,23.35195,22.52581,23.50352,23.4059,21.58354,22.73397,22.53761,22.45295,23.49668,23.5227,23.7977,26.12573,29.34945,30.69734,33.43015,36.47936,37.34647,38.69083,38,NA
Cape Verde,,2.1,2.1,0.9,0.9,1.1,1.08939,0.40926,0.44888,0.64899,0.69164,0.73252,0.75296,0.79167,0.79381,0.85882,0.83536,0.88817,0.8906,0.8906,0.8906,1.50432,1.04816,1.12375,1.12375,2.07975,1.80208,1.98396,2.33581,2.40741,2.64622,2.64622,2.64622,2.64622,2.6,NA
Central African Republic,,1,1.3,1.4,1.5,1.4,1.43268,1.69028,1.51622,1.62188,1.5374,1.66792,1.74967,1.78768,1.836,1.94392,1.93861,1.95899,2.00945,2.05107,2.05107,2.19522,2.23992,2.32882,2.32882,2.20123,2.09564,2.20323,2.41773,2.48107,2.31756,2.31756,2.31756,2.31756,2.3,NA
Chad,,2,1.9,1.9,1.9,0.9,1.0548,1.94038,1.7,1.12252,1.14703,2.36959,2.23498,2.24795,1.14557,1.18775,1.18451,1.22145,1.22992,1.22992,1.22992,1.3418,1.36885,1.4123,1.4123,1.31648,1.4511,1.57085,1.83655,1.75351,1.75351,1.75351,1.75351,1.75351,1.7,NA
Comoros,,0.3,0.3,0.3,0.3,0.3,0.25619,0.25627,0.40805,0.42732,0.42849,0.55841,0.53723,0.53577,0.53721,0.55767,0.55615,0.55615,0.55767,0.58104,0.58104,0.64164,0.66677,0.68849,0.68849,0.70907,0.75537,0.7662,0.96677,1.00923,1.00923,0.87707,1.00923,1.00923,1,NA
Congo (Brazzaville),,5,6,5,4,4,5.74855,5.80817,6.5,5.81761,6.5,7.11005,6.2222,5.79179,5.42736,5.27002,5.19067,5.02115,5.00281,5.05145,4.17564,4.40018,5.5859,4.82963,6.04204,6.71131,7.55155,8.22608,9.06468,9.9771,11.67338,16.56969,13.61273,15.15589,15,NA
Congo (Kinshasa),,19.1,20.4,21.4,21.3,19.5,18.90489,20.53716,18.53394,23.33782,21.94511,20.41759,21.51684,24.27043,25.37001,19.96885,20.5547,21.31897,20.92279,19.78598,16.92921,14.15525,9.53329,8.08926,8.13277,11.31749,11.60485,11.26252,12.96953,11.50274,11.4889,16.24479,19.63088,20.61877,20,NA
Cote dIvoire (IvoryCoast),,28,30,28,30,29,30,31.36267,35.19197,36.96768,36.87439,30.39724,24.9994,24.98506,28.42722,29.47651,28.88491,30.36634,27.78342,26.76984,30.16552,32.90027,21.72496,23.14564,22.91255,26.87154,27.68965,27.45031,24.8448,28.32849,26.9848,27.0406,26.52853,26.33627,26,NA
Djibouti,,10,8,8,6,5,5,4.5,4.6,4.5,10.4349,10.54847,10.66956,10.69628,10.8726,11.00951,10.96852,10.96852,11.1323,11.1323,11.1323,11.20582,11.38219,11.40044,11.6506,11.84262,11.70542,11.45673,11.21052,7.96741,8.0696,8.0696,8.0696,8.0696,8,NA
Egypt,,260,300,320,376,406,430,427.569,441.85693,436.89524,442.51438,465.04074,456.48877,443.81619,439.02156,429.97506,448.49259,486.10215,531.42819,544.87693,553.87036,538.80492,544.66808,564.70081,561.10781,603.91593,657.55482,688.85277,714.8844,707.77118,712.18966,705.78157,709.72895,742.64709,752,NA
Equatorial Guinea,,0.4,0.4,0.5,0.5,0.5,0.5745,0.5746,0.55216,0.55066,0.79375,0.81493,0.85581,0.8127,0.87622,0.87625,0.87385,0.89423,0.96167,0.96167,0.96167,1.53156,1.14877,1.14877,1.19332,1.02626,1.06995,1.11449,1.7286,5.19704,3.11923,4.61123,4.91249,4.91249,4.9,NA
Eritrea,,--,--,--,--,--,--,--,--,--,--,--,--,--,--,6.5237,7.18958,7.32355,7.35129,7.89775,6.52973,4.16475,4.92858,4.58934,5.18296,4.86967,4.87249,4.86392,4.52233,2.73345,3.33025,4.61123,3.30153,3.50008,3.5,NA
Ethiopia,,12,12,13,15,15,17.99711,17.08847,19.44367,18.6886,19.77073,19.72579,16.432,23.48618,21.89368,13.98345,15.4468,11.55697,11.58863,17.144,21.25258,22.72645,23.30833,25.63893,27.55088,28.59179,29.81233,33.71227,37.32893,46.99458,45.59529,42.32852,48.50671,52.42542,51,NA
Gabon,,11,12,11,14,12,10.8398,9.82876,10.4,11.74972,15.62392,15.31837,15.508,16.09183,15.08136,15.25442,14.10477,15.03578,16.08946,15.28811,13.18873,12.14297,12.52712,11.93556,12.58462,12.72441,12.66823,13.89145,16.04718,17.74632,19.04859,18.05629,17.79957,17.91404,18,NA
"Gambia, The",,1.1,1.1,1.1,1.1,1.2,1.19077,1.10981,1.27847,1.31866,1.30184,1.32753,1.38652,1.38273,1.47192,1.62529,1.51575,1.51161,1.51575,1.60411,1.60411,1.78975,1.91729,1.96696,1.99033,2.0082,2.08162,2.22466,2.76578,2.8709,3.11753,3.39282,3.11753,3.11753,3.1,NA
Ghana,,16,14,16,14,16,13.7143,15.9003,18.12331,21.299,23.66104,20.00418,20.13175,22.44108,23.42662,25.80755,26.65955,27.17768,26.02162,26.7867,31.36488,36.96133,36.26958,38.64913,41.5376,45.29787,45.95419,46.97457,47.66395,44.3743,53.87233,64.72961,68.74111,78.00788,75,NA
Guinea,,5.6,5.5,5.6,5.7,5.7,5.33616,6.63241,6.94927,7.11793,6.87094,9.29811,7.19593,7.41068,7.62455,7.84386,7.76926,7.84063,7.86211,7.90693,7.90693,8.21238,8.30436,8.36203,8.4029,8.48115,8.74384,8.67433,8.55882,8.96998,9.08902,9.08902,9.08902,9.08902,9,NA
Guinea-Bissau,,0.6,0.6,0.6,0.6,0.82,0.884,0.69879,1.25581,1.40025,1.46907,1.84058,1.87707,1.89014,2.02475,2.06477,2.04523,2.06161,2.06726,2.06726,2.06726,2.2973,2.32403,2.40518,2.46942,2.46268,2.56022,2.54501,2.62819,2.57767,2.66142,2.66142,2.66142,2.66142,2.7,NA
Kenya,,40.9,39,39,37,36,37,39.198,34.52394,38.2657,41.78396,41.98009,36.7409,40.57513,41.87395,43.79195,46.22779,48.22062,44.01921,51.33342,52.24482,56.80086,51.92744,51.17241,54.20291,59.17774,65.8089,73.154,73.05641,67.8197,75.64327,79.84501,87.19462,84.74637,84,NA
Lesotho,,1,1,1,1,1,1.07685,1.07685,1.07685,0.74913,1.07685,1.07685,1.07685,1.0958,1.1,1.19,1.19,1.19,1.19,1.2,1.2,1.4,1.4,1.4,1.4,1.4,1.5,1.5529,1.69,1.813,1.5529,3.71107,1.5529,1.5529,1.6,NA
Liberia,,13,12,12,12,11,11.06898,8.26107,6.12862,7.93061,6.31268,3.78175,2.24838,2.28077,2.52246,2.52249,2.52249,2.61899,2.6466,2.74008,2.74008,2.93596,3.0951,3.35734,3.45674,3.50918,3.54904,4.14072,4.52901,4.04057,3.75019,3.64909,3.75019,3.75019,3.75,NA
Libya,,100,115,124,125,120,128.28001,124.69032,134.2292,142.00808,146.9968,155,165.97071,149.71659,160.07477,165.64322,178.51164,186.831,198.90599,187.20728,191.56094,210.28254,225.1721,246.34913,260.08873,254.51024,264.92641,267.90918,254.46163,268.08315,287.23512,331.23391,182.16909,238.01255,242,NA
Madagascar,,8,7,6,8,8,8.57834,5.69914,8.27994,9.06591,6.5092,6.2791,6.52348,6.99265,7.27996,8.08821,8.39465,8.41488,8.50382,8.55347,8.55347,12.13131,13.32438,15.31081,15.84255,17.39493,16.73267,16.57493,16.49548,13.67605,12.11832,12.25483,12.11832,12.11832,12,NA
Malawi,,3,3.5,2.9,2.4,2,2.69097,2.53559,2.62439,3,3.37096,3.52082,4.51356,5,4.26855,4.68151,4.90134,4.97735,4.99099,5.03315,5.03315,5.25691,5.34923,5.41184,5.43301,6.26331,6.78595,6.96022,7.18778,7.20941,6.05932,6.05932,6.05932,6.05932,6,NA
Mali,,3,4,3,3,3,3.28756,2.49079,2.9,1.56899,3.22792,3.20762,3.31812,3.37057,3.48639,3.55488,3.55268,3.62525,3.69649,3.74159,3.74159,3.8406,3.85112,4.20151,4.24093,4.36929,4.8597,4.40244,4.5074,4.56762,4.69814,4.69814,4.69814,4.69814,4.7,NA
Mauritania,,4.2,4,4,4,6,6,3.43056,4.69462,6.148,7.17035,6.2491,6.60108,21.9494,22.58218,22.51224,22.81394,22.95494,23.14885,23.25315,23.25315,23.76278,23.73696,22.74501,23.29956,19.95896,23.51874,20.61433,18.70425,12.88159,12.80502,12.80502,12.80502,12.80502,12.8,NA
Mauritius,,6,5.4,5.2,5.7,5.7,5.8,7.17112,6.2,9.14598,10.34509,11.91436,12.10948,14.44216,14.51286,14.65258,15.61797,15.95363,16.2031,16.34784,16.34784,19.87986,21.74671,19.78818,20.54994,21.37783,21.8909,22.20038,23.02085,22.76545,20.62429,23.35507,25.05063,24.93507,24,NA
Morocco,,89,85,88,89,85,90,93.84131,92.03607,99.03083,111.33239,116.5654,117.38641,130.13372,134.75857,147.53814,141.62821,137.44928,146.1234,144.20462,157.9638,158.4797,161.22382,164.28099,167.06915,170.29291,174.13843,180.78644,183.18371,215.68674,235.25636,268.40991,281.72984,290.90256,293,NA
Mozambique,,13,11,13,13,12,13.19065,6.62222,6.81112,9.837,8.02945,7.0335,6.93086,6.85183,6.80488,6.47384,7.12112,7.04473,7.29729,7.63104,7.89537,7.81249,9.36707,10.64647,11.18921,13.32437,13.37901,13.58921,14.35236,13.22038,15.02153,16.10047,18.12233,17.56129,17,NA
Namibia,,--,--,--,--,--,--,--,--,--,--,15,6.89756,7.02822,8.66674,8.37385,8.37385,8.82717,9.37385,10.07385,11.86151,12.63063,15.05071,15.41704,16.63564,17.57861,17.74545,19.11729,20.11353,20.38584,21.98934,20.81362,21.98934,21.98934,22,NA
Niger,,4,4,4,3,3,3,2.5,2.4,4.16574,4.23847,4.39525,4.4419,4.56328,4.65313,4.77636,4.76085,4.76822,4.78129,4.78129,4.78129,4.97757,5.06858,5.29926,5.40477,5.41167,5.42521,5.36732,5.4431,3.32973,5.13559,5.13021,5.13559,5.13559,5,NA
Nigeria,,170,200,215,202,210,222,208.3,218,234.10004,243.986,251,258.65676,264.71992,270.79593,251.97162,284.03597,286.05254,277.25129,260.10138,251.96727,245.56514,305.68901,303.94651,288.47458,277.07379,311.62722,284.46655,232.21645,263.00204,252.9097,283.07645,287.41647,279.19076,280,NA
Reunion,,4.3,4.3,4.7,5.4,6,5.90548,5.82637,6.39497,7.50641,7.96205,8.62927,9.91191,10.38393,13.13531,13.37304,13.2609,13.26544,13.36742,17.01044,17.01044,17.72478,18.53471,18.49175,18.49962,18.81831,19.20378,19.43551,19.73893,19.89942,20.51167,20.51167,20.51167,20.51167,20,NA
Rwanda,,1.1,2.5,2.4,2.7,4.429,4.5,4.4666,4.53726,4.58016,4.70688,4.87301,4.938,5.0718,4.61186,4.69679,4.77419,4.76115,4.84203,4.92288,4.92288,5.18773,5.24192,5.26529,5.32734,5.16481,5.49677,5.62323,5.12532,5.09842,5.30188,5.27597,5.30188,5.30188,5.3,NA
Saint Helena,,0.02173,0.02,0.02,0.02,0.02,0.02044,0.02044,0.04216,0.04205,0.04216,0.04216,0.02044,0.02038,0.04381,0.04381,0.04381,0.04369,0.04381,0.04381,0.04381,0.15511,0.08542,0.08542,0.08542,0.06407,0.08542,0.07973,0.08468,0.06587,0.06312,0.06312,0.06312,0.06312,0.06,NA
Sao Tome and Principe,,0.23,0.23,0.23,0.23,0.23,0.23986,0.24022,0.24022,0.23956,0.24022,0.46504,0.48942,0.50847,0.50986,0.5303,0.5303,0.52885,0.5303,0.5303,0.5303,0.61404,0.61573,0.63616,0.63616,0.63443,0.65953,0.72553,0.70519,0.77344,0.83025,0.90564,0.90564,0.90564,0.9,NA
Senegal,,17.4,16.8,17.3,16.4,19.5,19.2,19.63096,19.22212,16.32415,17.00587,16.90138,15.65673,19.09119,19.44761,23.47665,25.25679,25.19415,23.49622,25.17136,27.77527,29.55074,29.444,30.05438,30.32227,33.84846,36.18445,37.15448,38.52898,39.02732,36.28887,38.72749,39.07598,38.63321,38,NA
Seychelles,,1.5,1.2,1.1,1.9,2,2.07297,2.05114,2.18321,3.05257,3.23171,2.96932,3.19529,3.29664,3.38871,3.42959,3.45334,3.44391,3.70063,3.70063,3.70063,3.8365,3.95178,5.72485,5.54297,5.79992,5.7191,7.65343,6.35866,6.90431,7.45728,6.80455,6.80455,6.80455,6.8,NA
Sierra Leone,,5,5,5.4,5,5,5.5,5.86469,6.24884,6.97559,6.82269,6.88024,7.21101,5.27564,5.33356,5.35635,5.6628,5.64733,5.78338,5.80768,5.80768,6.14855,3.57573,3.57959,4.03397,4.14365,3.35435,4.62514,3.99074,3.77714,4.14909,4.42809,4.42809,4.42809,4.4,NA
Somalia,,7.9,9.2,9.1,8.9,9.2,9.0759,9.62929,7.18113,7.26647,7.39572,6.75212,4.03062,3.73614,3.8612,3.8612,3.8612,3.8612,3.8612,3.8612,3.8612,4.92942,5.07034,6.45182,6.45182,6.43783,6.50472,6.54453,5.59118,5.57443,5.39948,5.55636,5.55636,5.55636,5.6,NA
South Africa,,312,324,349,338,360,350,349.96,344.522,342.29713,348.193,375,402.50884,411.62242,402.11992,409.55975,421.07319,427.72512,438.69584,450.77405,465.66581,457.92609,458.2411,475.44208,490.2106,503.91002,536.62699,550.62859,569.27913,589.36441,547.63811,584.03632,616.18762,638.35042,612,NA
Sudan and South Sudan,,22.4,23,25,24,22,24.70141,27.93915,27.19116,29.59392,28.02525,25.43208,36.15284,33.30315,31.73752,27.66561,26.49732,26.33707,27.15735,27.36258,29.52962,43.10575,55.98863,58.29697,65.42314,71.21046,76.59927,87.42005,100.31509,106.97782,101.30166,114.82433,110.51893,106.98879,107,NA
